contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
24FN0004,2024,139925000.0,0.0237,-0.0522,0.031,no_change,0.948,True,completed_no_satellite_change
24E00015,2024,241234859.21,-0.0439,-0.0176,-0.0425,no_change,0.956,True,completed_no_satellite_change
24AA0204,2024,4899978.15,0.0178,-0.0002,0.0122,no_change,0.982,True,completed_no_satellite_change
24ME0092,2024,86846157.23,0.0085,0.0013,0.0074,no_change,0.992,True,completed_no_satellite_change
24KL0034,2024,95264800.0,0.0214,-0.0208,0.0148,no_change,0.979,True,completed_no_satellite_change
24FF0059,2024,4949423.05,-0.0151,-0.0069,-0.0124,no_change,0.985,True,completed_no_satellite_change
24BH0218,2024,96500000.0,-0.0536,0.0935,-0.0571,partial_construction,0.187,True,completed_minimal_construction_evidence
24AE0019,2024,82971487.54,0.0181,-0.0392,0.0164,no_change,0.961,True,completed_no_satellite_change
24N00093,2024,173699867.88,-0.0402,0.0447,-0.0212,no_change,0.955,True,completed_no_satellite_change
24AC0002,2024,36959500.0,-0.0107,-0.0186,-0.0107,no_change,0.981,True,completed_no_satellite_change
24DO0036,2024,48444340.0,-0.0021,-0.0429,0.0054,no_change,0.957,True,completed_no_satellite_change
24DL0147,2024,4950000.0,0.0047,0.0127,0.0045,no_change,0.987,True,completed_no_satellite_change
24DI0004,2024,48997686.53,-0.0029,-0.0337,-0.0107,no_change,0.966,True,completed_no_satellite_change
24KE0038,2024,46798954.67,0.016,-0.0491,0.0242,no_change,0.951,True,completed_no_satellite_change
24GK0191,2024,96497794.31,0.022,-0.0121,0.019,no_change,0.978,True,completed_no_satellite_change
24BF0001,2024,89383813.47,-0.056,0.0261,-0.0394,partial_construction,0.168,True,completed_minimal_construction_evidence
24M00112,2024,89000301.34,0.0115,-0.0115,0.0115,no_change,0.989,True,completed_no_satellite_change
24DN0046,2024,19599554.7,-0.0031,-0.0046,-0.0113,no_change,0.995,True,completed_no_satellite_change
24DM0137,2024,77200000.0,0.0491,-0.1504,0.0673,vegetation_cleared,0.234,True,completed_only_clearing_detected
24IA0021,2024,26578803.68,0.0196,-0.0549,0.0276,no_change,0.945,True,completed_no_satellite_change
24DF0086,2024,96500000.0,-0.0146,-0.0065,-0.0088,no_change,0.985,True,completed_no_satellite_change
24HO0070,2024,57895587.6,0.0304,-0.0613,0.0384,no_change,0.939,True,completed_no_satellite_change
24F00206,2024,29699972.23,0.0092,0.0034,0.0079,no_change,0.991,True,completed_no_satellite_change
24CD0148,2024,24124554.7,-0.0194,0.0164,-0.0186,no_change,0.981,True,completed_no_satellite_change
24BI0149,2024,144750000.0,-0.0208,-0.0083,-0.0078,no_change,0.979,True,completed_no_satellite_change
24JG0041,2024,39200000.0,0.0071,-0.0376,0.0067,no_change,0.962,True,completed_no_satellite_change
24AE0076,2024,48999163.46,0.0154,0.0244,0.0026,no_change,0.976,True,completed_no_satellite_change
24AH0130,2024,9900000.0,-0.0404,-0.0308,-0.0012,no_change,0.96,True,completed_no_satellite_change
24A00494,2024,96499998.63,0.0542,-0.1213,0.0548,partial_construction,0.243,True,completed_minimal_construction_evidence
24A00258,2024,48249980.3,-0.0205,0.0281,-0.0259,no_change,0.972,True,completed_no_satellite_change
24IC0034,2024,49458786.62,0.0115,-0.0028,0.009,no_change,0.989,True,completed_no_satellite_change
24E00187,2024,192997844.36,0.0077,-0.028,0.0091,no_change,0.972,True,completed_no_satellite_change
24BI0122,2024,144750000.0,-0.0684,0.0194,-0.0278,partial_construction,0.205,True,completed_minimal_construction_evidence
24FH0026,2024,26947720.0,-0.009,0.0216,-0.0101,no_change,0.978,True,completed_no_satellite_change
